Friends,Landlord,Self,Spouse,Government,Family,ID
0,0,0,0,0,1,226
0,0,0,1,0,1,227
0,0,0,1,0,1,228
0,0,0,1,0,1,229
0,0,0,0,0,1,230
0,0,0,0,1,1,231
0,0,0,1,0,1,232
0,0,0,1,0,1,233
1,0,0,1,0,1,234
0,0,0,1,0,1,235
1,0,0,1,0,1,236
